,o,h,l,c,stateFeature_0,stateFeature_1,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4
0,0.9991251562750224,1.0001610376091727,0.999012180267889,1.0001610376091727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,4.0,0.0,0.0,0.0,0.0,0.0
1,1.0008789419012927,1.0038498175918953,0.9998993923237403,1.0038498175918953,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,500.0,500.0,0.0,0.0,0.0,900.0,,,4.0,0.0,0.0,0.0,0.0,0.0
2,1.003386836921276,1.0055623734862884,1.003386836921276,1.0052254884192873,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,500.0,500.0,0.0,0.0,0.0,800.0,,,2.0,0.0,0.0,0.0,0.0,0.0
3,1.0067779605409886,1.0076868370445216,1.0063495578720276,1.0070158312821074,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,,500.0,500.0,0.0,0.0,0.0,800.0,,,4.0,0.0,0.0,0.0,0.0,0.0
4,1.0070677050383132,1.0097192425725456,1.0068105315212923,1.0097192425725456,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,,500.0,500.0,0.0,0.0,0.0,700.0,,,3.0,0.0,0.0,0.0,0.0,0.0
5,1.0079728518426627,1.011030869887239,1.0079728518426627,1.011030869887239,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,,500.0,500.0,0.0,0.0,0.0,800.0,,,1.0,0.0,0.0,0.0,0.0,0.0
6,1.0082819910768304,1.0112874736043773,1.0082819910768304,1.0109140471630123,1.0,-0.0003469163587628009,0.0,0.0,1.0,0.0,0.0,6.0,1.0,True,499.8265418206186,500.0,-0.17345817938140046,0.0,1.0,800.0,1.011030869887239,,0.0,0.1677423119544983,0.043400295078754425,0.019183184951543808,0.09386572241783142,-0.08824771642684937
7,1.008872325644903,1.0110471361613766,1.008872325644903,1.0104501714348133,1.0,-0.0010891175238811176,0.0,0.0,1.0,0.0,0.0,7.0,1.0,True,499.45544123805945,500.0,-0.5445587619405589,0.0,1.0,800.0,,,1.0,0.1679539829492569,0.048530615866184235,0.019208624958992004,0.09367802739143372,-0.08821205794811249
8,1.0066212491495616,1.0106918769952924,1.0066212491495616,1.0087593129735384,1.0,-0.0037944910619209975,0.0,0.0,1.0,0.0,0.0,8.0,1.0,True,498.1027544690395,500.0,-1.8972455309604987,0.0,1.0,800.0,,,0.0,0.17494827508926392,0.11494198441505432,0.059358034282922745,0.0943886786699295,-0.06897518038749695
9,1.0091966417452027,1.0091966417452027,1.0070922209775353,1.0085990335157586,1.0,-0.004050938194368588,0.0,0.0,1.0,0.0,0.0,9.0,1.0,True,497.97453090281573,500.0,-2.0254690971842937,0.0,1.0,800.0,,,3.0,0.18420091271400452,0.17151132225990295,0.08263148367404938,0.11809071153402328,-0.051630899310112
10,1.0062014861648962,1.0069205750819308,1.0037412138421737,1.0044436336609714,1.0,-0.010699577962028091,0.0,0.0,1.0,0.0,0.0,10.0,1.0,True,494.65021101898594,500.0,-5.349788981014045,0.0,1.0,900.0,,,0.0,0.19019299745559692,0.21617935597896576,0.11160127818584442,0.14334608614444733,-0.016635330393910408
11,1.0043031604810835,1.0062011634891266,1.0029183113242655,1.0029332861424423,1.0,-0.01311613399167479,0.0,0.0,1.0,0.0,0.0,11.0,1.0,True,493.4419330041626,500.0,-6.558066995837395,0.0,1.0,900.0,,,2.0,0.22365890443325043,0.2677435874938965,0.1265125423669815,0.16408517956733704,0.0026568686589598656
12,1.0027951050592947,1.0032218935255346,1.0012140917358652,1.0012140917358652,0.0,0.0,-0.01311613399167479,-0.01311613399167479,1.0,0.0,0.0,12.0,1.0,False,493.4419330041626,493.4419330041626,0.0,-6.558066995837407,0.0,900.0,,1.0029332861424423,2.0,0.007551089860498905,0.046912819147109985,0.04087275639176369,0.06661279499530792,0.054890528321266174
13,1.0006333303904242,1.002358746872069,0.9976136301470122,0.9979639186833171,0.0,0.0,0.0,-0.01311613399167479,1.0,0.0,0.0,13.0,1.0,False,493.4419330041626,493.4419330041626,0.0,-6.558066995837407,0.0,900.0,,,0.0,0.010892834514379501,0.053244106471538544,0.04910699278116226,0.075660340487957,0.07034987211227417
14,0.9973064348854151,0.9973064348854151,0.9951408570440277,0.9951408570440277,0.0,0.0,0.0,-0.01311613399167479,1.0,0.0,0.0,14.0,1.0,False,493.4419330041626,493.4419330041626,0.0,-6.558066995837407,0.0,900.0,,,2.0,0.013887505978345871,0.05894467979669571,0.056953947991132736,0.08397309482097626,0.08583452552556992
15,0.9966654372759616,0.9966654372759616,0.9932493792956193,0.9932493792956193,0.0,0.0,0.0,-0.01311613399167479,1.0,0.0,0.0,15.0,1.0,False,493.4419330041626,493.4419330041626,0.0,-6.558066995837407,0.0,900.0,,,3.0,0.017735082656145096,0.06513012200593948,0.06304791569709778,0.09076511859893799,0.09667383879423141
16,0.99250733962728,0.9935084034283771,0.9917744076293658,0.9934120241654759,0.0,0.0,0.0,-0.01311613399167479,1.0,0.0,0.0,16.0,1.0,False,493.4419330041626,493.4419330041626,0.0,-6.558066995837407,0.0,1000.0,,,1.0,0.021388128399848938,0.07062879949808121,0.06860314309597015,0.09852390736341476,0.10680310428142548
17,0.9907057297013747,0.9922659174113883,0.9898798416720058,0.9910251582138818,1.0,-0.005039835055066385,0.0,-0.01311613399167479,1.0,0.0,0.0,17.0,2.0,True,490.9550670525685,493.4419330041626,-2.486865951594097,-6.558066995837407,1.0,1000.0,0.9934120241654759,,1.0,0.32570961117744446,0.4221797585487366,0.1358647644519806,0.2666175365447998,0.12330207228660583
18,0.9890927311526162,0.9914741970145855,0.9890927311526162,0.9902269055771171,1.0,-0.006657558607470599,0.0,-0.01311613399167479,1.0,0.0,0.0,18.0,2.0,True,490.1568144158038,493.4419330041626,-3.2851185883587934,-6.558066995837407,1.0,1000.0,,,0.0,0.34378042817115784,0.4254985749721527,0.08355311304330826,0.2662832736968994,0.10640375316143036
19,0.9887443821740896,0.9913692681943498,0.9887167275190869,0.9887167275190869,1.0,-0.009718056625618319,0.0,-0.01311613399167479,1.0,0.0,0.0,19.0,2.0,True,488.64663635777356,493.4419330041626,-4.795296646389013,-6.558066995837407,1.0,1000.0,,,2.0,0.403361439704895,0.44066932797431946,0.03343649208545685,0.2728448510169983,0.07167931646108627
