,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,stateFeature_5,reward,simNum,barNum,nTrades,tradeOpen,accountValue,allPL,stopConditions,positionStatus,entryPrice,exitPrice,action
0,0.998850367522796,1.0014023691523093,0.9978853626706178,1.0014023691523093,0.006139106493083912,0.004131916149428205,0.008009751137777799,0.004380995541114818,0.0,0.0,0.0,1.0,0.0,0.0,,10000.0,0.0,0.0,0.0,,,0.0
1,1.0028182185022438,1.0028182185022438,1.0008478821954596,1.0027417240324221,0.005402438972672008,0.006139106493083912,0.00876176490427738,0.008009751137777799,0.0,0.0,-0.0,1.0,1.0,0.0,,10000.0,0.0,0.0,0.0,,,1.0
2,1.0037881939993758,1.0062937055591028,1.003000784958954,1.0062937055591028,0.006488167328021155,0.005402438972672008,0.011262520105071894,0.00876176490427738,1.0,0.0003451981526680681,0.2,1.0,2.0,1.0,True,10003.451981526681,3.4519815266812657,0.0,1.0,1.0027417240324221,,0.0
3,1.0061415099700286,1.0074845031500634,1.0061415099700286,1.0074268404876046,0.005333746888826818,0.006488167328021155,0.011035468071679655,0.011262520105071894,1.0,0.00045851164551824366,0.2,1.0,3.0,1.0,True,10004.585116455182,4.585116455182288,0.0,1.0,,,2.0
4,1.007610297978785,1.0085475211985035,1.00663605542498,1.0085475211985035,0.004575881355081801,0.005333746888826818,0.010595489558402171,0.011035468071679655,0.0,0.0,0.20045851164551826,1.0,4.0,1.0,False,10004.585116455182,4.585116455182288,0.0,0.0,,1.0074268404876046,2.0
5,1.0076023863885655,1.0106475397315189,1.0076023863885655,1.0083518204679247,0.0025578236516135,0.004575881355081801,0.008811940819189124,0.010595489558402171,0.5,9.565687078960965e-06,0.2,1.0,5.0,2.0,True,10004.680817185761,4.680817185761043,0.0,0.5,1.0085475211985035,,0.0
6,1.010965566301738,1.010965566301738,1.009761430654997,1.0102654213673836,0.0029942491818935046,0.0025578236516135,0.008998203945025818,0.008811940819189124,0.5,-0.00018170670224895724,-0.2,1.0,6.0,2.0,True,10002.767216286302,2.7672162863018457,0.0,0.5,,,0.0
7,1.0108955218958027,1.0112204655424109,1.0095168582820033,1.0095168582820033,0.0011164970549162323,0.0029942491818935046,0.006647035138584778,0.008998203945025818,0.5,-0.00010688470047008444,-0.2,1.0,7.0,2.0,True,10003.515779371683,3.5157793716825836,0.0,0.5,,,2.0
8,1.0114752605099473,1.0114752605099473,1.0077623580480797,1.0087222207948638,-8.289297151664599e-05,0.0011164970549162323,0.00441689479613272,0.006647035138584778,0.5,-2.745737011207779e-05,-0.2,1.0,8.0,2.0,True,10004.310416858822,4.310416858821554,0.0,0.5,,,1.0
9,1.010108747402769,1.010108747402769,1.0067296981750409,1.0067296981750409,-0.001959225205912185,-8.289297151664599e-05,0.0013386896851752539,0.00441689479613272,0.0,0.0,-0.2000274573701121,1.0,9.0,2.0,False,10004.310416858822,4.310416858821554,0.0,0.0,,1.0087222207948638,1.0
10,1.007833226761999,1.007833226761999,1.0044017361391304,1.0044034478143609,-0.003594796669235123,-0.001959225205912185,-0.001581494349148116,0.0013386896851752539,1.0,-0.0002425204996229831,-0.2,1.0,10.0,3.0,True,10001.884166498141,1.884166498140985,0.0,1.0,1.0067296981750409,,2.0
11,1.0044382101242648,1.0061652420533058,1.003103943034161,1.0036720982410727,-0.0035461925380479986,-0.003594796669235123,-0.00283404555664335,-0.001581494349148116,0.0,0.0,-0.200242520499623,1.0,11.0,3.0,False,10001.884166498141,1.884166498140985,0.0,0.0,,1.0044034478143609,0.0
12,1.002476058330891,1.003445996014424,0.9999393753223856,0.9999393753223856,-0.005557907782568816,-0.0035461925380479986,-0.006444852322836758,-0.00283404555664335,0.0,0.0,-0.0,1.0,12.0,3.0,False,10001.884166498141,1.884166498140985,0.0,0.0,,,2.0
13,1.003157845160412,1.003157845160412,0.9975781082449723,0.9976953850680401,-0.005831652501253615,-0.005557907782568816,-0.008268314330150517,-0.006444852322836758,0.5,0.00021435863669836642,0.2,1.0,13.0,4.0,True,10004.028156752487,4.028156752487121,0.0,0.5,0.9999393753223856,,2.0
14,0.9968980612128034,0.9990223319898689,0.9963486567970602,0.9963486567970602,-0.005116120105932986,-0.005831652501253615,-0.008786288537626974,-0.008268314330150517,0.5,0.00034900609397355307,0.2,1.0,14.0,4.0,True,10005.374885023466,5.3748850234660495,0.0,0.5,,,2.0
15,0.9959577763995277,0.9959577763995277,0.993448506054801,0.9941712052448105,-0.005200489503144334,-0.005116120105932986,-0.009859103819643722,-0.008786288537626974,0.5,0.0005667102301145395,0.2,1.0,15.0,4.0,True,10007.552336575716,7.552336575716254,0.0,0.5,,,1.0
16,0.9937320475741013,0.9950304220394466,0.9921266077879124,0.9927043370104872,-0.004717505936822075,-0.005200489503144334,-0.010005706704965589,-0.009859103819643722,0.0,0.0,0.20056671023011455,1.0,16.0,4.0,False,10007.552336575716,7.552336575716254,0.0,0.0,,0.9941712052448105,1.0
17,0.9923142353400227,0.9923142353400227,0.9891272106194219,0.9898566600983537,-0.005262609825168907,-0.004717505936822075,-0.01131212025296835,-0.010005706704965589,1.0,-0.00029454524073387034,-0.2,1.0,17.0,5.0,True,10004.604659663582,4.604659663582424,0.0,1.0,0.9927043370104872,,0.0
18,0.9909037122237084,0.991116932651799,0.9895072649241611,0.9895072649241611,-0.003873319932990782,-0.005262609825168907,-0.009931669056892356,-0.01131212025296835,1.0,-0.0003294583905672878,-0.2,1.0,18.0,5.0,True,10004.25526448939,4.255264489389447,0.0,1.0,,,1.0
