,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,stateFeature_5,reward,simNum,barNum,nTrades,tradeOpen,accountValue,allPL,stopConditions,positionStatus,entryPrice,exitPrice,action
0,0.9979269617386409,1.0020932976737367,0.9979269617386409,1.0004159784729842,0.0055906470661351015,0.003759998767267847,0.006619442822726196,0.0034570014354696754,0.0,0.0,0.0,2.0,0.0,0.0,,10000.0,0.0,0.0,0.0,,,0.0
1,1.0016342710225348,1.0040087628714987,0.9996237562778246,1.0040087628714987,0.006949639189585466,0.0055906470661351015,0.0095016773131541,0.006619442822726196,0.0,0.0,-0.0,2.0,1.0,0.0,,10000.0,0.0,0.0,0.0,,,2.0
2,1.001252858534345,1.0069006775107585,1.001252858534345,1.0069006775107585,0.007253070700212638,0.006949639189585466,0.011325068384282488,0.0095016773131541,0.5,-0.00029919146392598625,-0.2,2.0,2.0,1.0,True,9997.00808536074,-2.991914639260358,0.0,0.5,1.0040087628714987,,1.0
3,1.0071517163665433,1.0085191725755263,1.005518332572285,1.0071718390515871,0.005388016088873737,0.007253070700212638,0.010398329563398812,0.011325068384282488,0.0,0.0,-0.200299191463926,2.0,3.0,1.0,False,9997.00808536074,-2.991914639260358,0.0,0.0,,1.0069006775107585,2.0
4,1.0077757754980874,1.0093055715072252,1.0077757754980874,1.0093055715072252,0.005163258322571362,0.005388016088873737,0.011119569220638392,0.010398329563398812,0.5,-0.00022344009693350952,-0.2,2.0,4.0,2.0,True,9994.774352905102,-5.225647094897795,0.0,0.5,1.0071718390515871,,0.0
5,1.0068628826205355,1.009964810227809,1.0068628826205355,1.0085430939517093,0.0024854400574154667,0.005163258322571362,0.008868741541261604,0.011119569220638392,0.5,-0.00014716952187690885,-0.2,2.0,5.0,2.0,True,9995.536830460618,-4.463169539381852,0.0,0.5,,,1.0
6,1.0110978038503549,1.0110978038503549,1.0098566677376282,1.0098681457549836,0.002235130647023409,0.0024854400574154667,0.008638972497578834,0.008868741541261604,0.0,0.0,-0.20014716952187692,2.0,6.0,2.0,False,9995.536830460618,-4.463169539381852,0.0,0.0,,1.0085430939517093,2.0
7,1.009516711387069,1.0110270588247734,1.0087033644713572,1.0087033644713572,0.00028791576342057645,0.002235130647023409,0.005966078276432141,0.008638972497578834,0.5,0.00010652567257634085,0.2,2.0,7.0,3.0,True,9996.601611744245,-3.3983882557549805,0.0,0.5,1.0098681457549836,,2.0
8,1.0085487702577267,1.0101153901892739,1.007336793836989,1.0090775375366687,0.0002992788244138289,0.00028791576342057645,0.0048646047752680666,0.005966078276432141,0.5,6.909165861010262e-05,0.2,2.0,8.0,3.0,True,9996.227438678932,-3.7725613210677693,0.0,0.5,,,0.0
9,1.0083615665987182,1.0085415517317375,1.0068062031850584,1.0068062031850584,-0.0019111162161085105,0.0002992788244138289,0.0015556320031180348,0.0048646047752680666,0.5,0.0002963265125389677,0.2,2.0,9.0,3.0,True,9998.498773030544,-1.5012269694561837,0.0,0.5,,,1.0
10,1.0077234559019286,1.0077234559019286,1.0044722386653522,1.0044722386653522,-0.003439525262169285,-0.0019111162161085105,-0.001554799890735703,0.0015556320031180348,0.0,0.0,0.20029632651253898,2.0,10.0,3.0,False,9998.498773030544,-1.5012269694561837,0.0,0.0,,1.0068062031850584,1.0
11,1.0062171464020153,1.0062171464020153,1.0029440203802438,1.0029440203802438,-0.004034564618700109,-0.003439525262169285,-0.0035740990663752914,-0.001554799890735703,1.0,-0.00016284627543289624,-0.2,2.0,11.0,4.0,True,9996.870554745436,-3.1294452545644162,0.0,1.0,1.0044722386653522,,1.0
12,1.001772277039937,1.0026382036218304,1.0006875185282933,1.0020092428416143,-0.0036595250051014716,-0.004034564618700109,-0.004641648635723916,-0.0035740990663752914,1.0,-0.00025633806453536576,-0.2,2.0,12.0,4.0,True,9995.935777206805,-4.064222793194858,0.0,1.0,,,2.0
13,1.0007388770922954,1.0009137804840238,0.9974068722632905,0.9974068722632905,-0.006379146882080855,-0.0036595250051014716,-0.008693861663363833,-0.004641648635723916,0.0,0.0,-0.20025633806453538,2.0,13.0,4.0,False,9995.935777206805,-4.064222793194858,0.0,0.0,,1.0020092428416143,1.0
14,0.9970964788575539,0.9974977533076966,0.9950283734132498,0.9964337270471704,-0.005244990349951184,-0.006379146882080855,-0.008794761007518304,-0.008693861663363833,1.0,-0.00010735815435781066,-0.2,2.0,14.0,5.0,True,9994.862631990685,-5.137368009314741,0.0,1.0,0.9974068722632905,,0.0
15,0.9966986720155334,0.9966986720155334,0.9919667678712505,0.9919667678712505,-0.007238710306903262,-0.005244990349951184,-0.01199463091841002,-0.008794761007518304,1.0,-0.0005542356929376051,-0.2,2.0,15.0,5.0,True,9990.395672814766,-9.60432718523407,0.0,1.0,,,1.0
16,0.9926573044883362,0.9928898670274638,0.9915658041923306,0.9928338286337429,-0.004431914539142601,-0.007238710306903262,-0.009754924916460683,-0.01199463091841002,1.0,-0.0004674943630793697,-0.2,2.0,16.0,5.0,True,9991.262733577258,-8.737266422742323,0.0,1.0,,,0.0
17,0.9918939612035637,0.9919476946865936,0.9902028072566181,0.9902696053144272,-0.004883735347488982,-0.004431914539142601,-0.010796357516002941,-0.009754924916460683,1.0,-0.0007240209531323768,-0.2,2.0,17.0,5.0,True,9988.698510257942,-11.301489742058038,0.0,1.0,,,0.0
