,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,stateFeature_5,stateFeature_6,stateFeature_7,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action
0,0.9994900571647012,1.001899926023475,0.9988354049199907,1.000880221722995,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,False,499.9,499.9,0.0,-0.10000000000002274,0.0,1000.0,,,1.0
1,1.0002138549474584,1.0047698580216455,1.0002138549474584,1.0047698580216455,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,False,499.79999999999995,499.79999999999995,0.0,-0.20000000000004547,0.0,1000.0,,,2.0
2,1.0037889632533634,1.006479738591722,1.0026358383952325,1.006479738591722,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,False,499.69999999999993,499.69999999999993,0.0,-0.3000000000000682,0.0,1000.0,,,0.0
3,1.0065424968978387,1.0072464246503596,1.0065424968978387,1.0070179838098439,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,False,499.5999999999999,499.5999999999999,0.0,-0.40000000000009095,0.0,1000.0,,,1.0
4,1.0075735563701855,1.0097334156990192,1.0065976393638727,1.0097334156990192,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,False,499.4999999999999,499.4999999999999,0.0,-0.5000000000001137,0.0,1000.0,,,6.0
5,1.008542356448048,1.011248387562697,1.008542356448048,1.011248387562697,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,6.0,False,499.4099999999999,499.4099999999999,0.0,-0.5900000000000887,0.0,900.0,,,5.0
6,1.0106398694463492,1.0110662872678766,1.0093060373415579,1.0109107001419249,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,6.0,7.0,False,499.3099999999999,499.3099999999999,0.0,-0.6900000000001114,0.0,1000.0,,,6.0
7,1.009421766149576,1.0094989077240837,1.007623942571769,1.0093155668815328,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,False,499.2199999999999,499.2199999999999,0.0,-0.7800000000000864,0.0,900.0,,,2.0
8,1.0092048089505672,1.0104575236947568,1.009049475931991,1.0096046841073858,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,8.0,9.0,False,499.12999999999994,499.12999999999994,0.0,-0.8700000000000614,0.0,900.0,,,3.0
9,1.0083155735314253,1.0083734426404385,1.0069250670443903,1.0069250670443903,1.0,-0.005012031648460158,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,9.0,10.0,False,496.62834464330405,496.62834464330405,0.0,-3.3716553566959533,0.0,900.0,,,4.0
10,1.0078959650945836,1.0078959650945836,1.0033971516129585,1.0033971516129585,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,10.0,11.0,False,496.5383446433041,496.5383446433041,0.0,-3.4616553566959283,0.0,900.0,,,4.0
11,1.0051794685993742,1.00518431076616,1.0030932548616749,1.0030932548616749,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,11.0,12.0,False,496.4483446433041,496.4483446433041,0.0,-3.5516553566959033,0.0,900.0,,,2.0
12,1.0024355820234643,1.0036166503030153,1.001241256705191,1.001241256705191,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,12.0,13.0,False,496.3583446433041,496.3583446433041,0.0,-3.6416553566958783,0.0,900.0,,,1.0
13,0.9991691127788778,0.9994650835768205,0.9983500783464537,0.9983500783464537,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,13.0,14.0,False,496.26834464330415,496.26834464330415,0.0,-3.7316553566958532,0.0,900.0,,,2.0
14,0.9999149692656316,0.9999149692656316,0.9943103505432093,0.9943103505432093,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,14.0,15.0,False,496.1783446433042,496.1783446433042,0.0,-3.8216553566958282,0.0,900.0,,,3.0
15,0.995381043122874,0.995381043122874,0.9937626699151919,0.9952068208444007,1.0,0.0014446887471229995,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,15.0,16.0,False,496.8951679143765,496.8951679143765,0.0,-3.1048320856235136,0.0,900.0,,,5.0
16,0.99379097326011,0.99379097326011,0.9912895510994861,0.9928832870436161,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,16.0,17.0,False,496.79516791437646,496.79516791437646,0.0,-3.2048320856235364,0.0,1000.0,,,7.0
17,0.9919852062061344,0.9919994974102785,0.989360123229106,0.9906877303853122,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,17.0,18.0,False,496.69516791437644,496.69516791437644,0.0,-3.304832085623559,0.0,1000.0,,,2.0
18,0.9894753882581043,0.9900568744808359,0.9881612888385541,0.9881612888385541,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,18.0,19.0,False,496.5951679143764,496.5951679143764,0.0,-3.404832085623582,0.0,1000.0,,,1.0
19,0.990182695294125,0.9912511095040828,0.9889498084253736,0.9912511095040828,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,19.0,20.0,False,496.4951679143764,496.4951679143764,0.0,-3.5048320856236046,0.0,1000.0,,,6.0
