,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4,predValueAction_5
0,0.9991257165351843,1.0019233718851828,0.9981115981540533,1.0019233718851828,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,3.0,0.06045658141374588,0.0036171823740005493,0.024045851081609726,0.024544525891542435,0.029859453439712524,-0.05483958125114441
1,1.0002141261452127,1.0037092186611454,1.0002141261452127,1.0037092186611454,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,4.0,0.06045658141374588,0.0036171823740005493,0.024045851081609726,0.024544525891542435,0.029859453439712524,-0.05483958125114441
2,1.0046778878904383,1.005205138666679,1.0029309921952152,1.0041183667462308,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,500.0,500.0,0.0,0.0,0.0,1500.0,,,5.0,0.06263268738985062,0.009918194264173508,0.02677827700972557,0.02239849418401718,0.02704298309981823,-0.05450236797332764
3,1.0053248353857203,1.0076426362360538,1.0050561229268318,1.0075891458569195,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,3.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,4.0,0.06045658141374588,0.0036171823740005493,0.024045851081609726,0.024544525891542435,0.029859453439712524,-0.05483958125114441
4,1.008098485332446,1.0094441904906712,1.0061554944332012,1.0094441904906712,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,4.0,0.0,,500.0,500.0,0.0,0.0,0.0,1500.0,,,3.0,0.06263268738985062,0.009918194264173508,0.02677827700972557,0.02239849418401718,0.02704298309981823,-0.05450236797332764
5,1.0079514530269948,1.0097170951095136,1.0079514530269948,1.0097170951095136,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,5.0,0.0,,500.0,500.0,0.0,0.0,0.0,1500.0,,,3.0,0.06263268738985062,0.009918194264173508,0.02677827700972557,0.02239849418401718,0.02704298309981823,-0.05450236797332764
6,1.0101871760796108,1.0121705199135127,1.0093891880022352,1.0121705199135127,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,6.0,0.0,,500.0,500.0,0.0,0.0,0.0,1500.0,,,5.0,0.056376345455646515,-0.017437227070331573,0.017665816470980644,0.03497038781642914,0.027197442948818207,-0.030148794874548912
7,1.0088952886339748,1.0106943755354936,1.0088952886339748,1.0092190693173753,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,7.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,2.0,0.05356353521347046,-0.02323029562830925,0.01422717235982418,0.03694167733192444,0.03041493520140648,-0.030879637226462364
8,1.0099086715611054,1.0099809920613676,1.0064182326799096,1.009200915792527,1.0,1.0,0.5,-0.00016369295030351766,0.1,0.0,0.0,1.0,0.0,0.0,8.0,1.0,True,499.91815352484826,500.0,-0.08184647515175883,0.0,0.5,1000.0,1.0092190693173753,,0.0,0.02042064443230629,0.057024113833904266,-0.13014310598373413,0.028498094528913498,0.057368114590644836,-0.07807833701372147
9,1.0095156433280958,1.011441316791547,1.0077043130855186,1.0081810663796233,1.0,1.0,0.5,0.001876005875503828,0.1,0.0,0.0,1.0,0.0,0.0,9.0,1.0,True,500.9380029377519,500.0,0.938002937751914,0.0,0.5,1000.0,,,2.0,0.020439481362700462,0.05698659271001816,-0.130250945687294,0.028360754251480103,0.057597529143095016,-0.07794563472270966
