,o,h,l,c,stateFeature_0,stateFeature_1,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4
21,0.9895447471050342,0.9915013506254814,0.9895447471050342,0.9915013506254814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
22,0.9915715518103786,0.9933445271133285,0.9900133974643422,0.9933445271133285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
23,0.9951110980671191,0.9951110980671191,0.9937815345337588,0.9946821670137737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
24,0.9943856021558297,1.0003076137331899,0.9943856021558297,0.9981943837528902,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9998512137862792,1.0006548659018644,0.9972806937133734,0.999837573547844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
26,1.000977186143843,1.00322941772499,1.000977186143843,1.0025119799778894,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0037408264092116,1.0045567187771742,1.0027625632525021,1.0045567187771742,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0048181253779909,1.0072578459388248,1.0048181253779909,1.0052763104315356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0068938847184703,1.0096065699704093,1.0068938847184703,1.0073282293244645,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0097318598833391,1.0113326672831693,1.008034721851343,1.0085737964922212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0094655017793277,1.0099584514177409,1.007814249814083,1.0086270821610743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.0,0.0,0.0,0.0,0.0
