,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4,predValueAction_5
0,0.9965311888986167,1.0005898086454639,0.9965311888986167,1.0005898086454639,1.0,0.0,0.0,0.1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.08424559235572815,0.07967863231897354,0.07624448835849762,0.06995079666376114,0.0789562463760376,0.07537835836410522
1,1.0012848839592012,1.0044310312154574,1.001102524770938,1.0044310312154574,1.0,0.0,0.0,0.1,0.0,0.0,9.0,0.0,0.0,1.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,0.09033505618572235,0.08446551859378815,0.08552712202072144,0.07385652512311935,0.0756152868270874,0.08718156069517136
2,1.005382730580137,1.0069950295994607,1.0029141339596876,1.0069950295994607,1.0,0.0,0.0,0.1,0.0,0.0,9.0,0.0,0.0,2.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,5.0,0.09033505618572235,0.08446551859378815,0.08552712202072144,0.07385652512311935,0.0756152868270874,0.08718156069517136
3,1.005329061436556,1.0073835527986874,1.005329061436556,1.007228765304503,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,,500.0,500.0,0.0,0.0,0.0,0.0,,,4.0,0.09012484550476074,0.08426214754581451,0.0852620005607605,0.07356614619493484,0.07541364431381226,0.0869874656200409
4,1.0059109188528916,1.0078858353132505,1.0059109188528916,1.0075283149521312,1.0,0.0,0.0,0.1,0.0,0.0,9.0,0.0,0.0,4.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,4.0,0.09033505618572235,0.08446551859378815,0.08552712202072144,0.07385652512311935,0.0756152868270874,0.08718156069517136
5,1.0073170331709844,1.0105390602049613,1.0073170331709844,1.0105390602049613,1.0,0.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,5.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,0.0,0.09054525196552277,0.08466888964176178,0.08579224348068237,0.07414690405130386,0.07581692934036255,0.08737565577030182
6,1.0095187960667398,1.0107311010367743,1.0095187960667398,1.0098800322634691,1.0,0.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,6.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,0.0,0.10930386185646057,0.09768790006637573,0.09403197467327118,0.10768584907054901,0.1031399741768837,0.09614184498786926
7,1.010710643627301,1.0108319893392361,1.0087673534230612,1.0108319893392361,1.0,0.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,7.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,0.0,0.10930386185646057,0.09768790006637573,0.09403197467327118,0.10768584907054901,0.1031399741768837,0.09614184498786926
8,1.010038264537209,1.0106191452422302,1.0098247317148674,1.0098247317148674,1.0,0.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,8.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,0.0,0.10930386185646057,0.09768790006637573,0.09403197467327118,0.10768584907054901,0.1031399741768837,0.09614184498786926
9,1.0092777722122226,1.0092777722122226,1.0067089940202842,1.0067089940202842,1.0,1.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,9.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,3.0,0.09776978194713593,0.08694713562726974,0.08072175830602646,0.09098811447620392,0.09159652888774872,0.08650326728820801
10,1.0074706299157492,1.0085836544334,1.0071362542474882,1.0071362542474882,1.0,1.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,10.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,0.0,0.09776978194713593,0.08694713562726974,0.08072175830602646,0.09098811447620392,0.09159652888774872,0.08650326728820801
11,1.0048790904707534,1.004917883815719,1.0023099053018087,1.0039464581900155,1.0,1.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,11.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,0.0,0.11531272530555725,0.10676485300064087,0.08993248641490936,0.11082596331834793,0.10714776813983917,0.10940174013376236
12,1.0035968110262865,1.003597050274318,1.002343228044628,1.002464572086683,0.0,1.0,0.0,0.2,0.0,0.0,9.0,0.0,0.0,12.0,0.0,,500.0,500.0,0.0,0.0,0.0,2000.0,,,2.0,0.10718857496976852,0.09902586787939072,0.0811028778553009,0.09937001019716263,0.09911449998617172,0.10229082405567169
13,1.0022564744180817,1.0022564744180817,0.997726000683901,0.997787453019344,0.0,1.0,0.5,0.2,0.0,0.0,9.0,0.0,0.0,13.0,1.0,True,509.1542381346778,500.0,9.154238134677842,0.0,0.5,2000.0,1.002464572086683,,3.0,0.09764405339956284,0.089933842420578,0.070729561150074,0.08591118454933167,0.08967673778533936,0.09393668174743652
14,0.9986298187582949,0.9986298187582949,0.9960228041448091,0.9960228041448091,0.0,1.0,0.0,0.2,0.018308476269355684,0.018308476269355684,9.0,0.0,0.0,14.0,1.0,False,509.1542381346778,509.1542381346778,0.0,9.154238134677826,0.0,2000.0,,0.997787453019344,5.0,0.10718857496976852,0.09902586787939072,0.0811028778553009,0.09937001019716263,0.09911449998617172,0.10229082405567169
15,0.9947464780791025,0.9957802811831113,0.9922956986600038,0.9922956986600038,0.0,1.0,0.0,0.1,0.0,0.018308476269355684,9.0,0.0,0.0,15.0,1.0,False,509.1542381346778,509.1542381346778,0.0,9.154238134677826,0.0,1000.0,,,0.0,0.10856781899929047,0.10033972561359406,0.0826018899679184,0.10131490230560303,0.10047832131385803,0.10349804908037186
16,0.9933026480083077,0.9933026480083077,0.9905133286371428,0.9905133286371428,0.0,1.0,0.0,0.1,0.0,0.018308476269355684,9.0,0.0,0.0,16.0,1.0,False,509.1542381346778,509.1542381346778,0.0,9.154238134677826,0.0,1000.0,,,5.0,0.10681207478046417,0.10983715951442719,0.09928307682275772,0.0993526503443718,0.10385754704475403,0.11037912219762802
17,0.9923374907253715,0.9923374907253715,0.9894827686245053,0.9894827686245053,0.0,1.0,0.0,0.0,0.0,0.018308476269355684,9.0,0.0,0.0,17.0,1.0,False,509.1542381346778,509.1542381346778,0.0,9.154238134677826,0.0,0.0,,,5.0,0.1081143394112587,0.11117391288280487,0.10089517384767532,0.10125355422496796,0.10521816462278366,0.11162230372428894
18,0.9896115285330506,0.9918137596667633,0.989053518252608,0.9918137596667633,0.0,1.0,0.0,0.0,0.0,0.018308476269355684,9.0,0.0,0.0,18.0,1.0,False,509.1542381346778,509.1542381346778,0.0,9.154238134677826,0.0,0.0,,,3.0,0.1081143394112587,0.11117391288280487,0.10089517384767532,0.10125355422496796,0.10521816462278366,0.11162230372428894
