,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4,predValueAction_5
0,1.0009946686439537,1.0009946686439537,0.9994782079174941,1.0008897647671615,1.0,0.0,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,3.0,1.225486397743225,1.3211162090301514,1.3063127994537354,1.2100704908370972,1.22124183177948,1.2223776578903198
1,1.0005175285628256,1.002179361701128,0.9999230478015573,1.0012861038074157,1.0,0.0,0.0,0.1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,2.0,1.1991361379623413,1.3675673007965088,1.3398922681808472,1.2745883464813232,1.254424810409546,1.2725778818130493
2,1.0038888487083502,1.0074179976792685,1.002656648036497,1.0074179976792685,1.0,0.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,2.0,1.0,True,493.7681061281471,500.0,-6.231893871852867,0.0,0.5,1000.0,1.0012861038074157,,2.0,1.2931797504425049,1.3373268842697144,1.269233226776123,1.3154690265655518,1.30397629737854,1.3014253377914429
3,1.005992140716965,1.008306816858702,1.0053404097982672,1.008306816858702,1.0,0.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,3.0,1.0,True,492.87928694871374,500.0,-7.1207130512862635,0.0,0.5,1000.0,,,2.0,1.2931797504425049,1.3373268842697144,1.269233226776123,1.3154690265655518,1.30397629737854,1.3014253377914429
4,1.0071503430499744,1.010523989846001,1.0067299185853578,1.0085341822255585,1.0,0.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,4.0,1.0,True,492.6519215818572,500.0,-7.348078418142789,0.0,0.5,1000.0,,,1.0,1.2931797504425049,1.3373268842697144,1.269233226776123,1.3154690265655518,1.30397629737854,1.3014253377914429
5,1.0084357395774646,1.0105676027209478,1.0084357395774646,1.0089179451652768,1.0,0.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,5.0,1.0,True,492.26815864213887,500.0,-7.731841357861103,0.0,0.5,1000.0,,,4.0,1.2931797504425049,1.3373268842697144,1.269233226776123,1.3154690265655518,1.30397629737854,1.3014253377914429
6,1.0089901025703036,1.0110096675432299,1.0089901025703036,1.009821053472348,1.0,0.0,0.5,0.15,0.0,0.0,3.0,0.0,0.0,6.0,1.0,True,491.36505033506774,500.0,-8.63494966493229,0.0,0.5,1500.0,,,1.0,1.329207181930542,1.340003490447998,1.3001627922058105,1.2933429479599,1.308276891708374,1.306481122970581
7,1.009630393034202,1.0108838815938759,1.0082976479848214,1.0095450611149521,1.0,0.0,0.5,0.15,0.0,0.0,3.0,0.0,0.0,7.0,1.0,True,491.64104269246354,500.0,-8.358957307536452,0.0,0.5,1500.0,,,2.0,1.329207181930542,1.340003490447998,1.3001627922058105,1.2933429479599,1.308276891708374,1.306481122970581
8,1.010318467800026,1.010318467800026,1.0082469534981833,1.0090021399299982,1.0,1.0,0.5,0.15,0.0,0.0,3.0,0.0,0.0,8.0,1.0,True,492.18396387741745,500.0,-7.8160361225825365,0.0,0.5,1500.0,,,5.0,1.256206750869751,1.2409377098083496,1.2890830039978027,1.404914379119873,1.3520169258117676,1.2079867124557495
9,1.0072492097698178,1.010657206789346,1.00657794829184,1.0067081387701875,1.0,1.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,9.0,1.0,True,494.47796503722816,500.0,-5.522034962771826,0.0,0.5,1000.0,,,2.0,1.2385313510894775,1.2284297943115234,1.2755335569381714,1.3861907720565796,1.337271809577942,1.1946840286254883
10,1.005824644168627,1.0076671855930155,1.0042646377137014,1.0042646377137014,1.0,1.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,10.0,1.0,True,496.92146609371423,500.0,-3.078533906285774,0.0,0.5,1000.0,,,2.0,1.2385313510894775,1.2284297943115234,1.2755335569381714,1.3861907720565796,1.337271809577942,1.1946840286254883
11,1.0047514478296353,1.0056345926766495,1.0020616813301872,1.0045738254415602,1.0,1.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,11.0,1.0,True,496.6122783658555,500.0,-3.387721634144481,0.0,0.5,1000.0,,,4.0,1.285839557647705,1.2444725036621094,1.3438434600830078,1.5230872631072998,1.2825977802276611,1.3143854141235352
12,1.0032849701400397,1.0032849701400397,1.0010577720244904,1.0010577720244904,0.0,1.0,0.5,0.15,0.0,0.0,3.0,0.0,0.0,12.0,1.0,True,500.1283317829253,500.0,0.12833178292525066,0.0,0.5,1500.0,,,2.0,1.1854026317596436,1.1568790674209595,1.2592841386795044,1.4397847652435303,1.1413135528564453,1.2624095678329468
13,1.0013302943784965,1.0013302943784965,0.9980456394185562,0.9980456394185562,0.0,1.0,0.5,0.15,0.0,0.0,3.0,0.0,0.0,13.0,1.0,True,503.1404643888595,500.0,3.140464388859499,0.0,0.5,1500.0,,,5.0,1.1854026317596436,1.1568790674209595,1.2592841386795044,1.4397847652435303,1.1413135528564453,1.2624095678329468
14,0.9964149840105712,0.9973374692067689,0.9955760777789624,0.9960963690382054,0.0,1.0,0.5,0.1,0.0,0.0,3.0,0.0,0.0,14.0,1.0,True,505.0897347692103,500.0,5.089734769210253,0.0,0.5,1000.0,,,3.0,1.1722941398620605,1.1489503383636475,1.24204421043396,1.410592794418335,1.126739263534546,1.240498661994934
