,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0
0,0.9983400792217016,1.0020927169730265,0.9970799326752917,1.0020927169730265,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,2.0,
1,1.0003398949716789,1.003547860608915,1.0003398949716789,1.0033273980821844,1.0,0.0,0.5,-0.0026693622183158404,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,True,498.66531889084206,500.0,-1.3346811091579203,0.0,0.5,1000.0,1.0020927169730265,,3.0,
2,1.0041262406393612,1.005236106725405,1.003312203399094,1.0041950043574706,1.0,0.0,0.0,0.0,0.10026765067844032,-0.0026693622183158404,-0.0026693622183158404,1.0,0.0,0.0,2.0,1.0,False,498.66531889084206,498.66531889084206,0.0,-1.3346811091579411,0.0,1000.0,,1.0033273980821844,2.0,
3,1.004458157591975,1.0092033869876975,1.004458157591975,1.0092033869876975,1.0,0.0,0.5,-0.01024411050198818,0.10026765067844032,0.0,-0.0026693622183158404,1.0,0.0,0.0,3.0,2.0,True,493.5569362606151,498.66531889084206,-5.108382630226959,-1.3346811091579411,0.5,1000.0,1.0041950043574706,,5.0,
4,1.007299487682571,1.0084530652785837,1.006469702655414,1.0080821995000662,1.0,0.0,0.5,-0.007995733794891017,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,4.0,2.0,True,494.67812374824643,498.66531889084206,-3.987195142595612,-1.3346811091579411,0.5,500.0,,,1.0,
5,1.0085995653055047,1.0108336418335682,1.0084102002095507,1.0103134026561735,1.0,0.0,0.5,-0.012470083767875152,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,5.0,2.0,True,492.44692059213907,498.66531889084206,-6.218398298702976,-1.3346811091579411,0.5,500.0,,,1.0,
6,1.0071991865926866,1.010848910482163,1.0071991865926866,1.0096459834896763,1.0,0.0,0.5,-0.011131672731026285,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,6.0,2.0,True,493.11433975863633,498.66531889084206,-5.550979132205713,-1.3346811091579411,0.5,500.0,,,1.0,
7,1.011279685685302,1.011279685685302,1.009684202925577,1.009684202925577,1.0,0.0,0.5,-0.011208316191986787,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,7.0,2.0,True,493.07612032273556,498.66531889084206,-5.58919856810648,-1.3346811091579411,0.5,500.0,,,0.0,
8,1.008869063101505,1.0105787077120245,1.0087116209780873,1.0105787077120245,1.0,0.0,0.5,-0.013002114061140962,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,8.0,2.0,True,492.1816155362881,498.66531889084206,-6.48370335455396,-1.3346811091579411,0.5,500.0,,,4.0,
9,1.007598066550804,1.0086144625069784,1.0065190764412681,1.0065190764412681,1.0,1.0,0.5,-0.004861120258351515,0.10026765067844032,0.0,-0.0026693622183158404,1.0,0.0,0.0,9.0,2.0,True,496.2412468070445,498.66531889084206,-2.4240720837975904,-1.3346811091579411,0.5,1000.0,,,5.0,
10,1.0085677964466047,1.0085677964466047,1.0062607380551878,1.0069587732909122,1.0,1.0,0.5,-0.005742867660841954,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,10.0,2.0,True,495.8015499574004,498.66531889084206,-2.863768933441657,-1.3346811091579411,0.5,500.0,,,1.0,
11,1.0045354521144578,1.0045354521144578,1.00283139191817,1.00283139191817,1.0,1.0,0.5,0.0025339890131345086,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,11.0,2.0,True,499.9289313301427,498.66531889084206,1.2636124393006098,-1.3346811091579411,0.5,500.0,,,1.0,
12,1.0031620402465111,1.003389692441878,1.001617095285311,1.002660299072061,0.0,1.0,0.5,0.0028770905676791443,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,12.0,2.0,True,500.1000241762516,498.66531889084206,1.4347052854095543,-1.3346811091579411,0.5,500.0,,,1.0,
13,1.00055515249327,1.00055515249327,0.9968829648792876,0.9982668126602225,0.0,1.0,0.5,0.011687581783732992,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,13.0,2.0,True,504.4935105880901,498.66531889084206,5.828191697248009,-1.3346811091579411,0.5,500.0,,,1.0,
14,0.9977272899026576,0.998080557403992,0.9964020279924909,0.998080557403992,0.0,1.0,0.5,0.012061089323107866,0.05013382533922016,0.0,-0.0026693622183158404,1.0,0.0,0.0,14.0,2.0,True,504.67976584432057,498.66531889084206,6.014446953478514,-1.3346811091579411,0.5,500.0,,,4.0,
15,0.9964480326825901,0.9964480326825901,0.9925572377210502,0.9934302922205515,0.0,1.0,0.5,0.021386512622614536,0.10026765067844032,0.0,-0.0026693622183158404,1.0,0.0,0.0,15.0,2.0,True,509.33003102776115,498.66531889084206,10.664712136919096,-1.3346811091579411,0.5,1000.0,,,2.0,
16,0.9942059721871611,0.9942059721871611,0.9913776992636794,0.9913952201309052,0.0,1.0,0.5,0.02546755057041644,0.10026765067844032,0.0,-0.0026693622183158404,1.0,0.0,0.0,16.0,2.0,True,511.36510311740744,498.66531889084206,12.69978422656536,-1.3346811091579411,0.5,1000.0,,,0.0,
