,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0
0,0.9992066769922769,1.0017712617096515,0.9980258086752994,1.0017712617096515,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,3.0,
1,1.0014381309260176,1.0032679479818767,1.0009513156726857,1.0032679479818767,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,3.0,
2,1.003871194063465,1.0051184882049755,1.003467269761263,1.0047976786460546,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,3.0,
3,1.004403935585293,1.0086199320791907,1.004403935585293,1.0086199320791907,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,3.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,
4,1.0089049717904492,1.0100756489784362,1.006952467153037,1.0097071223330216,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,4.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,0.0,
5,1.0091553594299532,1.0106970945784257,1.0091553594299532,1.0106970945784257,1.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,5.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,2.0,
6,1.0082895192429202,1.0112957010398576,1.0082895192429202,1.0098068115081724,1.0,0.0,0.5,0.00158056614050659,0.1,0.0,0.0,2.0,0.0,0.0,6.0,1.0,True,500.7902830702533,500.0,0.7902830702532949,0.0,0.5,1000.0,1.0106970945784257,,0.0,
7,1.011968376341313,1.011968376341313,1.0091916979379443,1.0091916979379443,1.0,0.0,0.5,0.0028107932809628756,0.1,0.0,0.0,2.0,0.0,0.0,7.0,1.0,True,501.40539664048146,500.0,1.4053966404814378,0.0,0.5,1000.0,,,1.0,
8,1.0105776451049493,1.011045389059962,1.0080046010790928,1.0080046010790928,1.0,1.0,0.5,0.005184986998665741,0.1,0.0,0.0,2.0,0.0,0.0,8.0,1.0,True,502.5924934993329,500.0,2.5924934993328708,0.0,0.5,1000.0,,,0.0,
9,1.008753839509314,1.008753839509314,1.0069543130463072,1.0069543130463072,1.0,1.0,0.5,0.007285563064236976,0.1,0.0,0.0,2.0,0.0,0.0,9.0,1.0,True,503.6427815321185,500.0,3.642781532118488,0.0,0.5,1000.0,,,2.0,
10,1.007491550018863,1.007491550018863,1.0060659094252802,1.0060659094252802,1.0,1.0,0.5,0.009062370306291069,0.1,0.0,0.0,2.0,0.0,0.0,10.0,1.0,True,504.53118515314554,500.0,4.531185153145534,0.0,0.5,1000.0,,,1.0,
11,1.0047370432104175,1.0057460503061757,1.0030711677243513,1.0030711677243513,1.0,1.0,0.5,0.015051853708148747,0.1,0.0,0.0,2.0,0.0,0.0,11.0,1.0,True,507.5259268540744,500.0,7.525926854074373,0.0,0.5,1000.0,,,0.0,
12,1.0022448206763825,1.0030565785222922,0.9999583389836042,1.0012193670581295,0.0,1.0,0.5,0.018755455040592374,0.1,0.0,0.0,2.0,0.0,0.0,12.0,1.0,True,509.37772752029616,500.0,9.377727520296187,0.0,0.5,1000.0,,,0.0,
13,1.0004760338021572,1.0007345048416822,0.9984629716054501,0.9984629716054501,0.0,1.0,0.5,0.024268245945951318,0.1,0.0,0.0,2.0,0.0,0.0,13.0,1.0,True,512.1341229729757,500.0,12.134122972975659,0.0,0.5,1000.0,,,3.0,
14,0.9983034434405401,0.9983034434405401,0.9960891042352704,0.996262667861783,0.0,1.0,0.0,0.0,0.09763067477274583,0.024268245945951318,0.024268245945951318,2.0,0.0,0.0,14.0,1.0,False,512.1341229729757,512.1341229729757,0.0,12.13412297297566,0.0,1000.0,,0.9984629716054501,4.0,
15,0.9947878994226651,0.9966583930248324,0.9936961421234951,0.9942938896722572,0.0,1.0,0.0,0.0,0.14644601215911873,0.0,0.024268245945951318,2.0,0.0,0.0,15.0,1.0,False,512.1341229729757,512.1341229729757,0.0,12.13412297297566,0.0,1500.0,,,0.0,
16,0.9929694650702235,0.9931767062900626,0.9919314333250799,0.9923751559378531,0.0,1.0,0.0,0.0,0.14644601215911873,0.0,0.024268245945951318,2.0,0.0,0.0,16.0,1.0,False,512.1341229729757,512.1341229729757,0.0,12.13412297297566,0.0,1500.0,,,4.0,
17,0.9910850743470669,0.9922695796164135,0.9879670204239389,0.9879670204239389,0.0,1.0,0.0,0.0,0.19526134954549165,0.0,0.024268245945951318,2.0,0.0,0.0,17.0,1.0,False,512.1341229729757,512.1341229729757,0.0,12.13412297297566,0.0,2000.0,,,2.0,
18,0.9909295710632638,0.9931518519475654,0.9909295710632638,0.991183003881103,0.0,1.0,0.5,-0.012949668098327812,0.19526134954549165,0.0,0.024268245945951318,2.0,0.0,0.0,18.0,2.0,True,505.5021560586474,512.1341229729757,-6.631966914328236,12.13412297297566,0.5,2000.0,0.9879670204239389,,3.0,
