,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,stateFeature_5,stateFeature_6,stateFeature_7,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action
0,0.9976840604774979,1.001186231251615,0.9976840604774979,1.001186231251615,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False,499.9,499.9,0.0,-0.10000000000002274,0.0,1000.0,,,7.0
1,1.0014788023203542,1.0034032900419603,1.0014788023203542,1.0018831259696706,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,False,499.79999999999995,499.79999999999995,0.0,-0.20000000000004547,0.0,1000.0,,,5.0
2,1.0033255821925884,1.0049325252131414,1.003003748932586,1.0049325252131414,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,False,499.68999999999994,499.68999999999994,0.0,-0.3100000000000591,0.0,1100.0,,,4.0
3,1.0050540805411572,1.0075000083412309,1.0050540805411572,1.0066467399864305,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,False,499.5799999999999,499.5799999999999,0.0,-0.42000000000007276,0.0,1100.0,,,0.0
4,1.0053475017113447,1.0106129750758497,1.0053475017113447,1.0075804805291966,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,False,499.4699999999999,499.4699999999999,0.0,-0.5300000000000864,0.0,1100.0,,,4.0
5,1.0071304308206992,1.0104032733572872,1.0071304308206992,1.0104032733572872,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,False,499.3599999999999,499.3599999999999,0.0,-0.6400000000001,0.0,1100.0,,,4.0
6,1.0068539055289922,1.0107364362922928,1.0068539055289922,1.0086235531108811,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,False,499.2499999999999,499.2499999999999,0.0,-0.7500000000001137,0.0,1100.0,,,6.0
7,1.011095510587052,1.0111758937744526,1.0086219044148699,1.0086219044148699,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,False,499.14999999999986,499.14999999999986,0.0,-0.8500000000001364,0.0,1000.0,,,2.0
8,1.008781926285195,1.0098788838343293,1.007555452813581,1.007555452813581,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,False,499.04999999999984,499.04999999999984,0.0,-0.9500000000001592,0.0,1000.0,,,1.0
9,1.0084326580100413,1.0104933736765385,1.00713534639066,1.0104933736765385,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,9.0,10.0,False,498.9499999999998,498.9499999999998,0.0,-1.050000000000182,0.0,1000.0,,,2.0
10,1.0071272407454053,1.0071272407454053,1.004971853155102,1.0060104131126315,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,10.0,11.0,False,498.8499999999998,498.8499999999998,0.0,-1.1500000000002046,0.0,1000.0,,,4.0
11,1.0037995928554744,1.0049131469087713,1.002404881422509,1.0025051704987022,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,11.0,12.0,False,498.7499999999998,498.7499999999998,0.0,-1.2500000000002274,0.0,1000.0,,,2.0
12,1.0025878771621168,1.002708873877069,0.999632302656535,0.999632302656535,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,12.0,13.0,False,498.64999999999975,498.64999999999975,0.0,-1.3500000000002501,0.0,1000.0,,,3.0
13,1.0000984640390453,1.0008608157097254,0.9977537514845407,1.0002076105742277,1.0,0.0009531894468919467,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,13.0,14.0,False,499.1253079176924,499.1253079176924,0.0,-0.8746920823076039,0.0,1000.0,,,1.0
14,0.9986681744996886,0.9986681744996886,0.9955552757314254,0.9955552757314254,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,14.0,15.0,False,499.0253079176924,499.0253079176924,0.0,-0.9746920823076266,0.0,1000.0,,,3.0
15,0.996085258741154,0.996085258741154,0.995006600992225,0.9952022966804555,1.0,-0.0009077276117721355,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,15.0,16.0,False,498.5723288667224,498.5723288667224,0.0,-1.427671133277613,0.0,1000.0,,,2.0
16,0.9958811834095057,0.9958811834095057,0.9904650922105132,0.9912774412580092,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,16.0,17.0,False,498.47232886672236,498.47232886672236,0.0,-1.5276711332776358,0.0,1000.0,,,5.0
17,0.9932271927496509,0.9932271927496509,0.9892609320274229,0.9904157411362865,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,17.0,18.0,False,498.36232886672235,498.36232886672235,0.0,-1.6376711332776495,0.0,1100.0,,,2.0
18,0.9907947521055612,0.9916132329532901,0.9888223893225631,0.9916132329532901,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,18.0,19.0,False,498.25232886672234,498.25232886672234,0.0,-1.747671133277663,0.0,1100.0,,,5.0
19,0.9889356955912815,0.9909739286765967,0.9889356955912815,0.9906772004473028,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,19.0,20.0,False,498.13232886672233,498.13232886672233,0.0,-1.8676711332776676,0.0,1200.0,,,2.0
