,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4,predValueAction_5
0,0.9990111210303508,1.0006599965396243,0.9990111210303508,1.0006599965396243,1.0,0.0,0.0,0.1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,500.0,500.0,0.0,0.0,0.0,1000.0,,,5.0,2.795816421508789,2.841804027557373,2.7951834201812744,2.774001121520996,2.808595657348633,2.856053590774536
1,1.002091016027865,1.0053838954352743,0.9998907304707076,1.0053838954352743,1.0,0.0,0.0,0.05,0.0,0.0,7.0,0.0,0.0,1.0,0.0,,500.0,500.0,0.0,0.0,0.0,500.0,,,2.0,2.5872719287872314,2.588160514831543,2.652311086654663,2.5886800289154053,2.529073715209961,2.5098865032196045
2,1.0028759650871777,1.0053819696433937,1.0028759650871777,1.0049270865863251,1.0,0.0,0.5,0.05,0.0,0.0,7.0,0.0,0.0,2.0,1.0,True,500.1784044244746,500.0,0.178404424474582,0.0,0.5,500.0,1.0053838954352743,,2.0,2.047166585922241,2.2000651359558105,2.2990102767944336,2.293006658554077,2.2588114738464355,2.1602799892425537
3,1.0038842120671625,1.0081413524922913,1.0036129702308387,1.0081413524922913,1.0,0.0,0.5,0.05,0.0,0.0,7.0,0.0,0.0,3.0,1.0,True,498.5712714714915,500.0,-1.4287285285085105,0.0,0.5,500.0,,,2.0,1.7008254528045654,1.849807620048523,1.9353173971176147,1.7567191123962402,1.865064024925232,1.8512120246887207
4,1.0057286865709176,1.009793354193226,1.0057286865709176,1.009793354193226,1.0,0.0,0.5,0.05,0.0,0.0,7.0,0.0,0.0,4.0,1.0,True,497.74527062102413,500.0,-2.2547293789758664,0.0,0.5,500.0,,,3.0,1.4939360618591309,1.773590087890625,1.8321516513824463,1.9772063493728638,1.6853201389312744,1.7707254886627197
5,1.0079633773140733,1.0106898125764496,1.0079633773140733,1.0086634862784103,1.0,0.0,0.0,0.05,-0.004509458757951733,-0.004509458757951733,7.0,0.0,0.0,5.0,1.0,False,497.74527062102413,497.74527062102413,0.0,-2.254729378975867,0.0,500.0,,1.009793354193226,3.0,2.8438897132873535,2.722510576248169,2.77158784866333,2.881181478500366,2.602285146713257,2.712435245513916
6,1.0112530569336413,1.011533225259178,1.0093763036814691,1.011533225259178,1.0,0.0,0.0,0.05,0.0,-0.004509458757951733,7.0,0.0,0.0,6.0,1.0,False,497.74527062102413,497.74527062102413,0.0,-2.254729378975867,0.0,500.0,,,1.0,2.6299753189086914,2.631568431854248,2.5827224254608154,2.5820701122283936,2.575953722000122,2.563227415084839
7,1.0100857055035428,1.01021866523901,1.0088302151699,1.01021866523901,1.0,0.0,1.0,0.05,0.0,-0.004509458757951733,7.0,0.0,0.0,7.0,2.0,True,497.0379906109401,497.74527062102413,-0.7072800100840271,-2.254729378975867,1.0,500.0,1.011533225259178,,4.0,2.126483917236328,2.060966730117798,2.138129234313965,2.1258292198181152,2.1411173343658447,2.092315196990967
8,1.0092580174800367,1.0105589892711448,1.0079064295559015,1.0105589892711448,1.0,0.0,1.0,0.1,0.0,-0.004509458757951733,7.0,0.0,0.0,8.0,2.0,True,497.20815262700756,497.74527062102413,-0.5371179940165727,-2.254729378975867,1.0,1000.0,,,0.0,1.9807474613189697,1.880760908126831,1.9001519680023193,1.956256628036499,1.91489839553833,1.942913293838501
9,1.0090446869479657,1.0106038949799123,1.0065427668113347,1.0071268467098613,1.0,1.0,1.0,0.1,0.0,-0.004509458757951733,7.0,0.0,0.0,9.0,2.0,True,495.4920813463658,497.74527062102413,-2.2531892746583457,-2.254729378975867,1.0,1000.0,,,0.0,1.7599178552627563,1.6851651668548584,1.7201452255249023,1.7240822315216064,1.716639757156372,1.625251054763794
10,1.0062997077642475,1.0073428254013612,1.0044953333355904,1.0073428254013612,1.0,1.0,1.0,0.1,0.0,-0.004509458757951733,7.0,0.0,0.0,10.0,2.0,True,495.60007069211576,497.74527062102413,-2.1451999289083865,-2.254729378975867,1.0,1000.0,,,2.0,1.395719051361084,1.3444514274597168,1.4507248401641846,1.388256311416626,1.2282249927520752,1.444367527961731
11,1.0045965698897643,1.0055371216987699,1.0022379866808275,1.0032319512544188,1.0,1.0,1.0,0.1,0.0,-0.004509458757951733,7.0,0.0,0.0,11.0,2.0,True,493.5446336186445,497.74527062102413,-4.200637002379609,-2.254729378975867,1.0,1000.0,,,2.0,1.3370108604431152,1.304511308670044,1.3408526182174683,1.2708196640014648,1.2248457670211792,1.315171241760254
12,1.0039386025621038,1.0039386025621038,0.9993362451020086,0.9993362451020086,0.0,1.0,1.0,0.1,0.0,-0.004509458757951733,7.0,0.0,0.0,12.0,2.0,True,491.59678054243943,497.74527062102413,-6.148490078584706,-2.254729378975867,1.0,1000.0,,,3.0,0.8807056546211243,0.921419084072113,0.8482829332351685,0.9786357879638672,0.7964932918548584,0.9167568683624268
13,1.0010972666752673,1.0010972666752673,0.9976562900547264,0.9976562900547264,0.0,1.0,0.0,0.1,-0.012352684076562677,-0.01686214283451441,7.0,0.0,0.0,13.0,2.0,False,491.59678054243943,491.59678054243943,0.0,-8.403219457560567,0.0,1000.0,,0.9993362451020086,3.0,1.0701018571853638,1.0987510681152344,1.0317691564559937,1.1366876363754272,1.096987247467041,1.118957757949829
