,o,h,l,c,stateFeature_0,stateFeature_1,reward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,unrealizedPL,allPL,positionStatus,entryPrice,exitPrice,action
0,0.9989004055315458,1.0005784868403949,0.9979789953058015,1.0005784868403949,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,10000.0,0.0,0.0,0.0,,,2.0
1,1.002036944396787,1.0033732379652829,1.001042151967586,1.0033732379652829,0.5,-0.00028947511248880286,1.0,1.0,0.0,0.0,1.0,1.0,True,9997.105248875112,-2.8947511248880287,0.0,0.5,1.0005784868403949,,0.0
2,1.003963646094949,1.0049293369643575,1.0034120060629164,1.0047080096646461,0.5,-0.00042295228242512743,1.0,1.0,0.0,0.0,2.0,1.0,True,9995.770477175749,-4.229522824251275,0.0,0.5,,,2.0
3,1.0051239503577496,1.007387625543233,1.0051239503577496,1.0053860997778197,0.5,-0.0004907612937424821,1.0,1.0,0.0,0.0,3.0,1.0,True,9995.092387062576,-4.907612937424821,0.0,0.5,,,2.0
4,1.0068156681412586,1.009286454420338,1.0068156681412586,1.009286454420338,0.5,-0.0008807967579943075,1.0,1.0,0.0,0.0,4.0,1.0,True,9991.192032420056,-8.807967579943075,0.0,0.5,,,2.0
5,1.009445646761906,1.0107559226448724,1.009445646761906,1.0107559226448724,0.5,-0.0010277435804477498,1.0,1.0,0.0,0.0,5.0,1.0,True,9989.722564195523,-10.277435804477497,0.0,0.5,,,0.0
6,1.0079378908917336,1.0115600917165508,1.0079378908917336,1.0115600917165508,0.5,-0.0011081604876155959,1.0,1.0,0.0,0.0,6.0,1.0,True,9988.918395123845,-11.081604876155959,0.0,0.5,,,1.0
7,1.009059017348524,1.011148133531206,1.009059017348524,1.0095170678804442,0.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,False,9988.918395123845,0.0,-11.081604876155325,0.0,,1.0115600917165508,1.0
8,1.009830780003042,1.0101763931880776,1.0077578829576557,1.0093056667807072,1.0,-3.11746564962382e-05,1.0,1.0,0.0,0.0,8.0,2.0,True,9988.606994024107,-0.31140109973694086,-11.081604876155325,1.0,1.0095170678804442,,1.0
9,1.0080471225953354,1.0085433516315407,1.0053071942791223,1.0075174937592561,1.0,-0.00021019033674486007,1.0,1.0,0.0,0.0,9.0,2.0,True,9986.818821002656,-2.099574121188008,-11.081604876155325,1.0,,,1.0
10,1.0057825567632719,1.006867545747685,1.0049981168769,1.006867545747685,1.0,-0.0002752572424759571,1.0,1.0,0.0,0.0,10.0,2.0,True,9986.168872991086,-2.7495221327591524,-11.081604876155325,1.0,,,1.0
11,1.00461021544142,1.0061252158274427,1.002690608204163,1.0038214821945568,1.0,-0.0005802015249935871,1.0,1.0,0.0,0.0,11.0,2.0,True,9983.122809437957,-5.79558568588735,-11.081604876155325,1.0,,,0.0
12,1.0018637961839123,1.0034914638671248,0.9999530288909437,0.9999530288909437,1.0,-0.0009674760176455126,1.0,1.0,0.0,0.0,12.0,2.0,True,9979.254356134345,-9.664038989500423,-11.081604876155325,1.0,,,0.0
13,1.0015702241330506,1.0015702241330506,0.9992822414040827,0.9993074995800009,1.0,-0.0010321005631076098,1.0,1.0,0.0,0.0,13.0,2.0,True,9978.608826823402,-10.309568300443281,-11.081604876155325,1.0,,,1.0
14,0.9963648832856434,0.9963648832856434,0.9955967397273746,0.9955967397273746,1.0,-0.0014035882163091504,1.0,1.0,0.0,0.0,14.0,2.0,True,9974.898066970774,-14.020328153069539,-11.081604876155325,1.0,,,1.0
15,0.9942617354946226,0.9954758771534592,0.9935024987295996,0.9935024987295996,1.0,-0.0016132446490614008,1.0,1.0,0.0,0.0,15.0,2.0,True,9972.803825973,-16.114569150844538,-11.081604876155325,1.0,,,0.0
16,0.9915854224465491,0.9944783661695493,0.9915854224465491,0.9919427802140625,1.0,-0.0017693895342071782,1.0,1.0,0.0,0.0,16.0,2.0,True,9971.244107457464,-17.674287666381694,-11.081604876155325,1.0,,,2.0
17,0.9916003076898501,0.9920664200488866,0.9893500905631807,0.9893500905631807,0.0,0.0,1.0,1.0,0.0,0.0,17.0,2.0,False,9971.244107457464,0.0,-28.755892542536458,0.0,,0.9919427802140625,1.0
18,0.9909590537506071,0.9910404428599217,0.9885314661695443,0.9910404428599217,1.0,0.0001594938685285572,1.0,1.0,0.0,0.0,18.0,3.0,True,9972.834459754204,1.5903522967409713,-28.755892542536458,1.0,0.9893500905631807,,2.0
19,0.9903122097604256,0.9922834252799793,0.9882955201470055,0.9922834252799793,0.0,0.0,1.0,1.0,0.0,0.0,19.0,3.0,False,9972.834459754204,0.0,-27.165540245796365,0.0,,0.9910404428599217,1.0
20,0.991881914510023,0.991881914510023,0.9898118128619796,0.9904656884875153,1.0,-0.00019229606188723032,1.0,1.0,0.0,0.0,20.0,4.0,True,9970.91672296174,-1.9177367924639974,-27.165540245796365,1.0,0.9922834252799793,,0.0
21,0.9902608642332558,0.9927093901967021,0.9902608642332558,0.9906707204337682,1.0,-0.0001717370175071795,1.0,1.0,0.0,0.0,21.0,4.0,True,9971.121754907992,-1.7127048462110106,-27.165540245796365,1.0,,,0.0
22,0.9918822022691889,0.9945703084663087,0.9907262993446132,0.9934123344161413,1.0,0.00010317118371053323,1.0,1.0,0.0,0.0,22.0,4.0,True,9973.863368890366,1.0289091361620373,-27.165540245796365,1.0,,,1.0
