,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,stateFeature_4,stateFeature_5,stateFeature_6,stateFeature_7,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action
0,1.0002478987807328,1.0016419731829156,0.99852482980947,1.0016419731829156,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False,499.9,499.9,0.0,-0.10000000000002274,0.0,1000.0,,,0.0
1,1.0003723595029432,1.0039277826841912,1.0003723595029432,1.0039277826841912,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,False,499.79999999999995,499.79999999999995,0.0,-0.20000000000004547,0.0,1000.0,,,2.0
2,1.0045507982518396,1.0059246610180743,1.0035644464087856,1.005207021907138,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,False,499.69999999999993,499.69999999999993,0.0,-0.3000000000000682,0.0,1000.0,,,2.0
3,1.0057349970399116,1.007157420452722,1.004852602176609,1.007157420452722,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,False,499.5999999999999,499.5999999999999,0.0,-0.40000000000009095,0.0,1000.0,,,3.0
4,1.0074582088102912,1.008540720647727,1.0074582088102912,1.0076686256126748,1.0,0.0008230687749254051,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,False,500.0112051599526,500.0112051599526,0.0,0.011205159952623944,0.0,1000.0,,,0.0
5,1.0098572937469372,1.009875902364337,1.0084982280690493,1.009875902364337,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,False,499.9112051599526,499.9112051599526,0.0,-0.0887948400473988,0.0,1000.0,,,5.0
6,1.008961526189016,1.0103014476558447,1.008961526189016,1.0094011484298864,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,False,499.8012051599526,499.8012051599526,0.0,-0.19879484004741244,0.0,1100.0,,,3.0
7,1.0087446118328662,1.0095995064203285,1.0081167170057415,1.0087019079750288,1.0,-0.0017590283722144753,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,False,498.92204065960925,498.92204065960925,0.0,-1.0779593403907484,0.0,1100.0,,,0.0
8,1.0088696714745342,1.0105124797462612,1.007470084760916,1.007470084760916,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,False,498.81204065960924,498.81204065960924,0.0,-1.187959340390762,0.0,1100.0,,,0.0
9,1.009182194277365,1.009877249444493,1.0066718620014166,1.0066718620014166,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,9.0,10.0,False,498.7020406596092,498.7020406596092,0.0,-1.2979593403907757,0.0,1100.0,,,6.0
10,1.0073732917685745,1.0073732917685745,1.0058612077409261,1.0067529564035071,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,10.0,11.0,False,498.6020406596092,498.6020406596092,0.0,-1.3979593403907984,0.0,1000.0,,,5.0
11,1.0049113004628778,1.0049113004628778,1.0032459790068269,1.0032459790068269,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,11.0,12.0,False,498.4920406596092,498.4920406596092,0.0,-1.507959340390812,0.0,1100.0,,,6.0
12,1.003182726984187,1.003182726984187,0.9997355772474465,0.9997355772474465,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,12.0,13.0,False,498.39204065960917,498.39204065960917,0.0,-1.6079593403908348,0.0,1000.0,,,4.0
13,0.9988877478960669,1.0010675177992079,0.9981478683252222,0.9981478683252222,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,13.0,14.0,False,498.29204065960914,498.29204065960914,0.0,-1.7079593403908575,0.0,1000.0,,,2.0
14,0.9983417374581851,0.9983417374581851,0.9956032368807171,0.9956032368807171,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,14.0,15.0,False,498.1920406596091,498.1920406596091,0.0,-1.8079593403908802,0.0,1000.0,,,0.0
15,0.9941703407058712,0.9947580595869192,0.9932125679934508,0.9943357613148054,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,15.0,16.0,False,498.0920406596091,498.0920406596091,0.0,-1.907959340390903,0.0,1000.0,,,6.0
16,0.9922770316652699,0.9941479918458044,0.99139463713936,0.99139463713936,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,16.0,17.0,False,498.0020406596091,498.0020406596091,0.0,-1.997959340390878,0.0,900.0,,,1.0
17,0.9929877951523352,0.9929877951523352,0.9902298157170011,0.9927086456162417,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,17.0,18.0,False,497.91204065960915,497.91204065960915,0.0,-2.087959340390853,0.0,900.0,,,3.0
18,0.9900656442854285,0.9908712565363739,0.9893877016943028,0.9904558982375202,1.0,-0.004252704228731295,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,18.0,19.0,False,495.7945680187598,495.7945680187598,0.0,-4.205431981240224,0.0,900.0,,,3.0
19,0.9900340034620054,0.9909718751332179,0.9880277145602967,0.9880277145602967,1.0,-0.0045893308565153135,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,19.0,20.0,False,493.5192027092586,493.5192027092586,0.0,-6.480797290741407,0.0,900.0,,,5.0
